order_date,Sales
2015-01-01,32806.09068969
2015-01-02,29818.2105754
2015-01-03,36348.71064799
2015-01-04,35738.970669141
2015-01-05,31067.91060268
2015-01-06,33395.7105771
2015-01-07,32923.22068822
2015-01-08,37590.17087039
2015-01-09,26004.93051718
2015-01-10,37053.860758329996
2015-01-11,34164.16064509
2015-01-12,41095.9106852
2015-01-13,35891.89062765
2015-01-14,30612.27051049
2015-01-15,32878.95064001
2015-01-16,32478.98063865
2015-01-17,30329.26063763
2015-01-18,34781.71068021
2015-01-19,33488.03065335
2015-01-20,32802.99052066
2015-01-21,38436.26073839
2015-01-22,38525.42079003
2015-01-23,34007.61064357
2015-01-24,31529.08064654
2015-01-25,32758.91063516
2015-01-26,35029.14061573
2015-01-27,34471.94066266
2015-01-28,32660.28064749
2015-01-29,32615.290586891
2015-01-30,34770.170727101
2015-01-31,35514.03066874
2015-02-01,33479.75071748
2015-02-02,31396.61059809
2015-02-03,33932.600653291
2015-02-04,28906.28055239
2015-02-05,32781.71065725
2015-02-06,36093.73080082
2015-02-07,34045.97066538
2015-02-08,29839.82065423
2015-02-09,32900.79062105
2015-02-10,38439.75081091
2015-02-11,27310.85054986
2015-02-12,26140.78053653
2015-02-13,37157.10072573
2015-02-14,27146.03057889
2015-02-15,39126.13083103
2015-02-16,34253.78059219
2015-02-17,32234.44059598
2015-02-18,33127.36061323
2015-02-19,34261.7805941
2015-02-20,31889.47057408
2015-02-21,40896.36080773
2015-02-22,30743.06056432
2015-02-23,36422.04065955
2015-02-24,33342.54065732
2015-02-25,32779.59061089
2015-02-26,34557.01066616
2015-02-27,30001.25062006
2015-02-28,33803.3006595
2015-03-01,38229.09070392
2015-03-02,36247.75071756
2015-03-03,32555.210669289998
2015-03-04,35756.750704289996
2015-03-05,33807.90067876
2015-03-06,32439.99061625
2015-03-07,35637.06064047
2015-03-08,35435.65066004
2015-03-09,34784.93063589
2015-03-10,35258.16074235
2015-03-11,27900.63056007
2015-03-12,35738.51066053
2015-03-13,32501.29078159
2015-03-14,38546.29062338
2015-03-15,29916.44060536
2015-03-16,32193.47063858
2015-03-17,33487.08066779
2015-03-18,34408.88066909
2015-03-19,36184.37063477
2015-03-20,27545.650554981
2015-03-21,33187.67060539
2015-03-22,32983.79060957
2015-03-23,29300.310585242
2015-03-24,30518.19054829
2015-03-25,30739.02057676
2015-03-26,33583.65059854
2015-03-27,31845.16057822
2015-03-28,34281.86064935
2015-03-29,38545.15079182
2015-03-30,40222.95084417
2015-03-31,37470.82078196
2015-04-01,39081.450870951
2015-04-02,32076.90060848
2015-04-03,35598.5906431
2015-04-04,32830.72066143
2015-04-05,28456.02055573
2015-04-06,30824.64060636
2015-04-07,34286.35059761
2015-04-08,33474.2907489
2015-04-09,35859.01075622
2015-04-10,39130.61078839
2015-04-11,35615.61067621
2015-04-12,35886.23067897
2015-04-13,33262.85068347
2015-04-14,35108.56064063
2015-04-15,32041.85052892
2015-04-16,35192.9506652
2015-04-17,36885.98070373
2015-04-18,28024.620598362
2015-04-19,42683.34083442
2015-04-20,33842.94067802
2015-04-21,24780.2104839
2015-04-22,33944.12060589
2015-04-23,29214.62050879
2015-04-24,34321.97065979
2015-04-25,31081.67058582
2015-04-26,36087.66061239
2015-04-27,32840.1807043
2015-04-28,34399.330719339996
2015-04-29,34452.93066042
2015-04-30,33177.06075684
2015-05-01,35425.40072442
2015-05-02,34121.92058952
2015-05-03,32271.22064206
2015-05-04,33350.29061938
2015-05-05,29233.94054978
2015-05-06,31336.36065305
2015-05-07,36981.52069685
2015-05-08,33990.61058084
2015-05-09,35200.10069281
2015-05-10,26743.63039054
2015-05-11,35627.43073686
2015-05-12,29922.54058121
2015-05-13,35730.12066278
2015-05-14,38607.32075682
2015-05-15,31891.13055052
2015-05-16,29713.17053494
2015-05-17,34767.81071126
2015-05-18,37263.56068844
2015-05-19,36669.85075237
2015-05-20,32943.47070367
2015-05-21,29816.01058012
2015-05-22,32962.57056048
2015-05-23,35028.99068454
2015-05-24,32412.77060182
2015-05-25,36091.81068273
2015-05-26,30902.42062979
2015-05-27,35500.29073947
2015-05-28,35197.91055879
2015-05-29,37743.8708007
2015-05-30,41780.52091079
2015-05-31,31249.87058513
2015-06-01,37639.59066086
2015-06-02,36395.0206226
2015-06-03,33124.46068399
2015-06-04,34009.610618681
2015-06-05,28250.56054483
2015-06-06,33899.39065626
2015-06-07,32717.12069133
2015-06-08,41056.00076132
2015-06-09,34560.5407438
2015-06-10,33341.64064466
2015-06-11,30810.63062701
2015-06-12,29999.590637441
2015-06-13,35050.30070884
2015-06-14,32270.36055959
2015-06-15,32883.65060282
2015-06-16,35532.59072316
2015-06-17,32805.1605835
2015-06-18,29245.200529089998
2015-06-19,33857.110664499996
2015-06-20,36557.6906765
2015-06-21,37072.47072085
2015-06-22,32080.66058976
2015-06-23,31579.41058361
2015-06-24,32606.69067398
2015-06-25,39761.11084055
2015-06-26,33478.0906449
2015-06-27,34897.97064813
2015-06-28,29411.13056177
2015-06-29,37251.34073696
2015-06-30,41861.070890741
2015-07-01,33470.82056814
2015-07-02,35616.90072306
2015-07-03,37560.45075642
2015-07-04,31927.430630079998
2015-07-05,34764.72063649
2015-07-06,30801.14067483
2015-07-07,35538.26071781
2015-07-08,30825.360561751
2015-07-09,33994.640593241
2015-07-10,34977.000725
2015-07-11,37512.74072326
2015-07-12,33988.11073885
2015-07-13,28077.590584319998
2015-07-14,44848.2208675
2015-07-15,33115.75062588
2015-07-16,34320.470758999996
2015-07-17,34444.350674119996
2015-07-18,32033.19051393
2015-07-19,33316.15066556
2015-07-20,31637.56061588
2015-07-21,34973.260574679996
2015-07-22,27354.87055977
2015-07-23,31025.77059958
2015-07-24,31738.48059686
2015-07-25,31012.08064475
2015-07-26,34877.68072722
2015-07-27,28559.45039206
2015-07-28,37259.62067804
2015-07-29,32077.64062524
2015-07-30,31942.31061004
2015-07-31,34489.16073251
2015-08-01,31025.19062104
2015-08-02,37345.79079102
2015-08-03,33286.84064892
2015-08-04,37221.39077418
2015-08-05,33144.18059364
2015-08-06,34768.22074019
2015-08-07,34600.75066553
2015-08-08,24152.85044473
2015-08-09,28626.51057677
2015-08-10,35151.99070969
2015-08-11,30227.33059143
2015-08-12,34366.700724011
2015-08-13,33031.17065631
2015-08-14,30948.66066971
2015-08-15,33908.35075251
2015-08-16,35620.85068341
2015-08-17,36599.670667831
2015-08-18,28977.54060358
2015-08-19,33696.57067926
2015-08-20,31590.72067709
2015-08-21,36573.04067827
2015-08-22,35628.99077465
2015-08-23,30628.82059132
2015-08-24,24407.24048837
2015-08-25,37450.47086045
2015-08-26,30048.17057247
2015-08-27,31003.33060677
2015-08-28,35822.96063811
2015-08-29,38115.76079774
2015-08-30,35451.92064907
2015-08-31,36072.70071069
2015-09-01,34701.89066193
2015-09-02,34307.48075506
2015-09-03,35013.030623201
2015-09-04,39918.68093517
2015-09-05,35725.06074161
2015-09-06,36282.38064969
2015-09-07,33133.09067367
2015-09-08,33425.01068324
2015-09-09,33320.230680579996
2015-09-10,29740.36056566
2015-09-11,31487.42055539
2015-09-12,35885.40071696
2015-09-13,32210.79068609
2015-09-14,32628.83051694
2015-09-15,31283.21067273
2015-09-16,33179.26057308
2015-09-17,30111.36061345
2015-09-18,33941.82058348
2015-09-19,31761.9806102
2015-09-20,35103.730680921
2015-09-21,33626.23070568
2015-09-22,36156.44072149
2015-09-23,35991.93070045
2015-09-24,33353.28066662
2015-09-25,30698.430582201
2015-09-26,36439.79069005
2015-09-27,36869.79077983
2015-09-28,34138.32067735
2015-09-29,32785.75065111
2015-09-30,35117.6106207
2015-10-01,38279.14078186
2015-10-02,33294.970715
2015-10-03,36644.72074575
2015-10-04,28932.06057009
2015-10-05,31295.19061666
2015-10-06,33932.61065849
2015-10-07,28936.8906081
2015-10-08,36152.69071588
2015-10-09,40360.02088597
2015-10-10,30976.66062003
2015-10-11,35254.600614689996
2015-10-12,36310.38077216
2015-10-13,37660.44057145
2015-10-14,32637.84070467
2015-10-15,34062.99061267
2015-10-16,29829.73062761
2015-10-17,31181.19064396
2015-10-18,36625.82068844
2015-10-19,34141.7006262
2015-10-20,31392.20048167
2015-10-21,34040.16064275
2015-10-22,27218.8905528
2015-10-23,32805.07062972
2015-10-24,31747.97057193
2015-10-25,30680.00058795
2015-10-26,28385.61048332
2015-10-27,45682.93082861
2015-10-28,36573.73074022
2015-10-29,33467.40080123
2015-10-30,35411.95066079
2015-10-31,35238.70067262
2015-11-01,31257.81061216
2015-11-02,42209.51094458
2015-11-03,33212.250753989996
2015-11-04,40000.01082276
2015-11-05,34196.99066938
2015-11-06,35966.03072972
2015-11-07,34385.5308119
2015-11-08,34069.590717761
2015-11-09,37376.80078944
2015-11-10,23221.62041474
2015-11-11,35274.83074216
2015-11-12,32199.54059053
2015-11-13,40782.06068881
2015-11-14,30261.21057755
2015-11-15,32323.430677551
2015-11-16,34957.69065672
2015-11-17,33913.67067542
2015-11-18,34666.600748771
2015-11-19,38061.48069408
2015-11-20,35883.64066725
2015-11-21,34640.77059238
2015-11-22,30552.28065126
2015-11-23,35668.70068587
2015-11-24,29345.62064412
2015-11-25,33205.08063722
2015-11-26,32472.79066116
